Camera Name,Count (Professional Cameras),Count (Non-professional Cameras),Tag Name,Count (Professional Tags),Count (Non-professional Tags)
Panasonic DMC-FX9,4,2,,0,0
Panasonic DMC-FS35,2,3,,0,0
SONY NEX-F3,5,5,,0,0
Panasonic DMC-FX30,3,5,,0,0
SAMSUNG WB200F/WB201F/WB202F,2,0,,0,0
SONY DSC-RX1,8,8,,0,0
Panasonic DMC-FT20,2,0,,0,0
Canon PowerShot SX220 HS,2,4,,0,0
Canon PowerShot SX10 IS,19,28,,0,0
NIKON COOLPIX P100,6,9,,0,0
LEICA CAMERA AG LEICA CL,2,3,,0,0
EPSON Perfection V700/V750,3,5,,0,0
FUJIFILM X20,6,13,,0,0
"OLYMPUS OPTICAL CO.,LTD C40Z,D40Z",2,2,,0,0
Panasonic DMC-TZ18,4,4,,0,0
OLYMPUS CORPORATION TG-4,3,8,,0,0
Canon PowerShot S120,5,5,,0,0
Nikon Nikon F100,1,0,,0,0
SONY ILCE-7S,8,7,,0,0
Mysterious Camera,1,0,,0,0
Minolta Autocord,1,0,,0,0
FED Zarya,1,0,,0,0
NIKON CORPORATION 1 J2,3,0,,0,0
PENTAX Corporation PENTAX Optio 50,2,0,,0,0
OLYMPUS IMAGING CORP. E-PL5,9,21,,0,0
NORITSU KOKI EZ Controller,12,22,,0,0
LEICA CAMERA AG LEICA Q2,3,1,,0,0
Google Pixel 2 XL,2,2,,0,0
Reflecta CrystalScan 7200,1,0,,0,0
Panasonic DMC-GF7,1,4,,0,0
Panasonic DMC-FZ47,2,2,,0,0
Nokia N95,4,8,,0,0
PENTAX Corporation PENTAX Optio WPi,2,0,,0,0
Canon DIGITAL IXUS 100 IS,5,7,,0,0
Panasonic DMC-LX7,9,10,,0,0
Canon PowerShot A460,5,3,,0,0
Canon PowerShot SX710 HS,6,4,,0,0
SONY DSC-WX100,4,1,,0,0
samsung SPH-L720,1,0,,0,0
Panasonic DMC-ZS20,4,2,,0,0
SAMSUNG NX300M,1,1,,0,0
FUJIFILM X100F,13,11,,0,0
FUJIFILM FinePix F20,2,2,,0,0
PENTAX PENTAX Optio S1,1,0,,0,0
SONY DSC-P8,2,4,,0,0
"CASIO COMPUTER CO.,LTD. EX-FH100",1,0,,0,0
Canon PowerShot G7 X,4,4,,0,0
Panasonic DC-GX9,3,6,,0,0
OLYMPUS IMAGING CORP. TG-620,1,0,,0,0
